antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Apamistamab,other,Whole mAb Radiolabelled,Murine,PTPRC/CD45,Phase-III,Actinium Pharmaceuticals;Fred Hutchinson Cancer Research Center,Acute myeloid leukaemia;Myelodysplastic syndromes;Precursor cell lymphoblastic leukaemia-lymphoma,,,True,True
Derlotuximab,other,Whole mAb Radiolabelled,Chimeric,DNA/H1 Complex,Approved,Avid Bioservices;MediPharm Biotech,Glioblastoma,Lung cancer,,True,True
Girentuximab,other,Whole mAb Radiolabelled,Chimeric,CA9,Phase-III,Centocor Inc;Heidelberg Pharma AG,,,,True,True
Omburtamab,other,Whole mAb Radiolabelled,Murine,B7H3/CD276,Preregistration,Memorial Sloan-Kettering Cancer Center;Y-mAbs Therapeutics,Neuroblastoma;Meningeal carcinomatosis;Soft tissue sarcoma;Peritoneal cancer,,,True,True
Satumomab,other,Whole mAb Radiolabelled,Murine,TAG72,Approved,Cytogen Corporation,,Radionuclide imaging enhancers,,True,True
Tenatumomab,other,Whole mAb Radiolabelled,Murine,TNC,Phase-I,sigma-tau SpA,,,,True,True
