Molecule Assessed for ADA INN Name,Therapeutic Assessed for ADA Trade name,Disease Indication Description,IDC_ADA_pct
Brentuximab vedotin,ADCETRIS,"Hodgkin Disease, Disease, Hodgkin
Lymphoma, Large-Cell, Anaplastic
Lymphoma, Non-Hodgkin, Hodgkin Lymphoma, Hodgkin Lymphoma
Anaplastic Large-Cell Lymphoma",38.70967741935484
Denileukin difitox,"ONTAK, LYMPHIR","Cutaneous T-Cell Lymphoma, T-Cell Lymphoma",100.0
Gemtuzumab ozogamicin,MYLOTARG,Acute Myeloid Leukemia,12.0
Inotuzumab ozogamicin,BESPONSA,B-Cell Non-Hodgkin'S Lymphoma,10.0
Moxetumomab pasudotox,LUMOXITI,"Hairy Cell Leukemia (Hcl), Hairy Cell Leukemia, Leukemia, Lymphoma, Chronic Lymphocytic
Leukemia, Prolymphocytic Leukemia, Small
Lymphocytic Lymphoma, Acute Lymphoblastic Leukemia
Non-Hodgkin'S Lymphoma, Non-Hodgkin Lymphoma
Chronic Lymphocytic Leukemia, B-Cell Pediatric All",87.5
Obiltoxaximab,ANTHIM,Inhalational Anthrax,8.6
Pinatuzumab Vedotin,RG-7593,"Follicular Lymphoma
Diffuse Large B-Cell Lymphoma",3.333333333
Polatuzumab vedotin,POLIVY,"Lymphoma, Relapsed Or Refractory Follicular Lymphoma
Relapsed Or Refractory Diffuse Large B-Cell Lymphoma, Follicular Lymphoma
Diffuse Large B-Cell Lymphoma, Lymphoma, Non-Hodgkin, Diffuse Large B Cell Lymphoma",50.0
Trastuzumab emtansine,KADCYLA,"Her2-Positive Breast Cancer, Breast Neoplasms, Metastatic Breast Cancer, Her-2+ Breast Cancer, Non-Small Cell Lung Cancer",13.1
