antibody_id,sub_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Gacovetug,veterinary_vhh_chimeric,VHH-SusFc Dimer (Veterinary),Alpaca VHH / Sus Scrofa Fc chimeric,FaeG (F4+ ETEC fimbriae) - Veterinary,Veterinary/TBC,Vrije Universiteit Brussel,F4+ ETEC Infections (Piglets),,HY-P990997. Alpaca VHH + pig heavy chain dimer. NOT for human therapy. F4+ fimbriae (FaeG subunit). VH-h-CH2-CH3-CHS dimer format.,True,False
Lulizumab,vl_single_domain,Single Domain Variable Fragment;L,Humanised,CD28,Phase-II,Bristol-Myers Squibb,Sjogren's syndrome;Systemic lupus erythematosus;Renal transplant rejection,,,False,True
Placulumab,vl_single_domain,Single Domain Variable Fragment (VL) + Fc,Genetically human,TNF/TNFA,Phase-II,Domantis;Peptech;Arana Therapeutics;Teva Pharmaceutical Industries,,,,False,True
