phase_bucket,ADC × ADC,fusion × VHH,fusion × fusion,other × VHH,other × bispecific_IgG_like,other × bispecific_scFv_like,other × monospecific_IgG_Fab,radiolabeled × radiolabeled,standard × VHH,standard × bispecific_IgG_like,standard × bispecific_scFv_like,standard × monospecific_IgG_Fab,Total
phase_I,19,0,10,4,14,26,1,1,1,0,0,96,172
phase_II_plus,35,0,29,20,55,20,12,6,0,6,4,645,832
preclinical,4,1,5,3,8,8,3,0,0,0,2,60,94
unknown,0,0,1,0,1,1,2,1,0,0,0,29,35
Total,58,1,45,27,78,55,18,8,1,6,6,830,1133
