antibody_id,reason_category,format,genetics,target,phase,companies,conditions_active,conditions_approved,notes,has_heavy_sequence,has_light_sequence
Abciximab,other,Fab,Chimeric,ITGA2B/CD41,Approved,Janssen Biologics BV;Eli Lilly,,Coronary artery restenosis;Unstable angina pectoris,Sequence sourced through DrugBank. Biosimilars available from ISU Abxis and Harvest Moon Pharmaceuticals,True,True
Citatuzumab,other,Fab Fusion,,EPCAM/CD326,Phase-I,Viventia Biotech;Sesen Bio,,,,True,True
Clervonafusp,other,di-Fab Fusion,,SLC29A2,Phase-II,Valerion Therapeutics,Glycogen storage disease type II,,June '22: Corrected FWL2 and CDRL3 sequences,True,True
Naptumomab,other,Fab Fusion,Murine,TPBG/WAIF1,Phase-III,Active Biotech,,,,True,True
Verenafusp,other,Fab Fusion Protein,Chimeric,INSR/CD220,Phase-II/III,GENERIUM Pharmaceuticals,Mucopolysaccharidosis II,,,True,True
